ref;latOSM;lngOSM;operator;latLP;lngLP;diff_radians;dif_metres;numero;rue;ville
A4U3L8;44.8287915;2.6416338;La Poste;44.8288080296462;2.64231268514902;8,4083E-06;53,62811366;0;LE VILLAGE;TAUSSAC
A4U8P4;48.8538018;2.3337187;La Poste;48.853483593809;2.33505520077986;1,63223E-05;104,1035144;168;BOULEVARD SAINT GERMAIN;PARIS 06
A4W0B5;47.8086777;0.9146688;La Poste;47.8086795160608;0.914791422254219;1,43779E-06;9,170213946;0;PLACE DE L EGLISE;LUNAY
A4W3P6;48.8426193;2.5839529;La Poste;48.8426928069833;2.58385206398763;1,72841E-06;11,02377497;15;AVENUE ANDRE MARIE AMPERE;CHAMPS SUR MARNE
A4Z1Q7;44.8305651;2.6843452;La Poste;44.8305770483893;2.68437515557622;4,2514E-07;2,711545086;0;LE BOURG;BROMMAT
A5A1 C7;44.1357198;4.8121687;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A5A9J2;50.2316206;2.1166081;La Poste;50.2316955529694;2.11644321059158;2,2584E-06;14,40406675;32;PLACE DE L HOTEL DE VILLE;AUXI LE CHATEAU
A5B7K5;48.8035376;2.3828996;La Poste;48.8034930008891;2.38297779990729;1,18911E-06;7,584136747;23;RUE GASTON MONMOUSSEAU;IVRY SUR SEINE
A5E7F6;48.704861;6.1922777;La Poste;48.7047694211154;6.19309962715542;9,60102E-06;61,23530963;1;SQUARE CHARLES GRANDJEAN;MALZEVILLE
A5E7G0;48.7070755;6.2006659;La Poste;48.7070113599019;6.20062881821171;1,19822E-06;7,64227177;9;RUE RAYMOND POINCARE;MALZEVILLE
A5G0C5;45.7611185;4.8270852;La Poste;45.7610575688249;4.82732075679425;3,05899E-06;19,51022146;0;RUE SAINT ETIENNE;LYON 05
A5G317;43.3720379;-1.4360098;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A5H7E3;48.8841728;2.321939;La Poste;48.8841943121188;2.32194723002338;3,87144E-07;2,469201397;15;PLACE RICHARD BARET;PARIS 17
A5I2I2;48.8647343;2.335575;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A5I2I8;48.8647343;2.335575;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A5J8R1;47.7502152;7.0932807;La Poste;47.7515281717049;7.09214835710263;2,64895E-05;168,9502159;20;RUE SAINT MAURICE;GUEWENHEIM
A5M7C1;48.8301553;2.3507953;La Poste;48.8301743475527;2.3508601421447;8,15626E-07;5,202062097;40;BOULEVARD AUGUSTE BLANQUI;PARIS 13
A5N8F6;48.8064737;2.4731961;La Poste;48.8066705168693;2.47265807155696;7,07449E-06;45,12109772;12;PARVIS DE SAINT MAUR;ST MAUR DES FOSSES
A5P4J2;48.865355;2.3980167;La Poste;48.8653132072661;2.39797435491544;8,76513E-07;5,590397345;243;RUE DES PYRENEES;PARIS 20
A5Q8F5;43.5444775;3.1256595;La Poste;43.5465147834789;3.12433864937006;3,92878E-05;250,5776845;0;PLACE DE L EGLISE;CABREROLLES
A5S7K9;45.9884646;4.7185043;La Poste;45.9886531782528;4.71865512509545;3,76537E-06;24,01551366;747;RUE NATIONALE;VILLEFRANCHE SUR SAONE
A5TQ4;47.6681279;0.3141006;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A5U5T0;46.5807081;0.3394677;La Poste;46.5826304585341;0.338440040093887;3,57446E-05;227,9790768;0;RUE DE LA MARNE;POITIERS
A5W3T8;45.9936813;4.7243344;La Poste;45.9936933439244;4.72438027157557;5,94554E-07;3,792068373;153;RUE ROBERT SCHUMAN;VILLEFRANCHE SUR SAONE
A5W8G9;48.8167343;2.3794519;La Poste;48.8166598402944;2.37957363699825;1,90944E-06;12,17842719;67;RUE GABRIEL PERI;IVRY SUR SEINE
A5Y4L1;48.8367894;2.3928135;La Poste;48.8367876065818;2.39292681145907;1,30213E-06;8,304960811;11;RUE DE WATTIGNIES;PARIS 12
A5Y6M9;48.8760417;2.3267034;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A613O8;46.5872056;0.3425423;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A6A1E5;44.2951601;2.5584948;La Poste;44.2951573729412;2.55853981193985;5,6428E-07;3,598978094;23;AVENUE DE RODEZ;LUC LA PRIMAUBE
A6B9Z0;43.4804144;3.4838839;La Poste;43.4800213441104;3.48378912899812;6,96431E-06;44,41838446;1;PLACE EMILE COMBES;MONTAGNAC
A6C2K1;50.447502;3.430041;La Poste;50.447493296917;3.43006762792106;3,32533E-07;2,120895638;48;RUE THIERS;ST AMAND LES EAUX
A6C3N7;48.6890025;6.1804137;La Poste;48.6884755218725;6.17849762425588;2,39159E-05;152,5356366;0;RUE SAINT THIEBAUT;NANCY
A6C4N9;46.5762425;0.3355525;La Poste;46.5762245308449;0.335879975325386;3,94129E-06;25,13757158;50;RUE DE BLOSSAC;POITIERS
A6C4O0;46.5843577;0.3420294;La Poste;46.5827167869374;0.344170561736778;3,84695E-05;245,3586177;0;PLACE CHARLES VII;POITIERS
A6C4R7;46.582471;0.3430864;La Poste;46.5823576374733;0.342911212808804;2,88637E-06;18,40924775;0;RUE DU MARCHE NOTRE DAME;POITIERS
A6C6A7;46.5087327;0.6359341;La Poste;46.5089344753809;0.636117710442822;4,15526E-06;26,50225044;18;ROUTE DE LUSSAC;VALDIVIENNE
A6D6Y8;46.7354281;0.3097203;La Poste;46.7353876852144;0.309808946918516;1,27359E-06;8,122967914;12;PLACE RAOUL PERRET;VENDEUVRE DU POITOU
A6E6O1;44.3580713;2.5575554;La Poste;44.3581903333788;2.55753882938344;2,08786E-06;13,31640209;0;AVENUE JEAN MONNET;RODEZ
A6E9L7;48.8981124;2.0943656;La Poste;48.8979704843958;2.09434375211745;2,48952E-06;15,87815751;1;RUE DE LA SURINTENDANCE;ST GERMAIN EN LAYE
A6F3T1;46.7103747;6.192681;La Poste;46.7104127713401;6.19272058037188;8,15898E-07;5,203798144;1;GRANDE RUE;MOUTHE
A6H3E0;46.582024;0.3379796;La Poste;46.581417757179;0.336757714465227;1,80777E-05;115,2998864;21;RUE DES ECOSSAIS;POITIERS
A6H6E0;48.6703294;5.8705226;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A6I6CO;46.7013337;0.4315607;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A6I7U9;45.5668294;5.9226418;La Poste;45.5666385030773;5.92253366616038;3,58416E-06;22,85974193;11;BOULEVARD DE LA COLONNE;CHAMBERY
A6J8T6;43.2684487;3.3332652;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A6J9Z7;48.7982825;2.4856594;La Poste;48.7984074187854;2.48545076805736;3,24137E-06;20,67346287;106;AVENUE DU BOIS GUIMIER;ST MAUR DES FOSSES
A6K3Z1;48.7498621;2.5116736;La Poste;48.7498679641261;2.51160911333609;7,49071E-07;4,777572086;32;RUE DE PARIS;BOISSY ST LEGER
A6K4G3;44.0118984;7.3076525;La Poste;44.0118830037429;7.30766137198248;2,91241E-07;1,85753202;13;AVENUE PHILIPPE CORNIGLION MOLINIER;ROQUEBILLIERE
